,,,,,UTILIZED IMPACT FACTORS,,,,farm gate (=1),PROXY DEFINITION,ENERGY USE MJ/kg,,,,GHG Emissions (kg CO2eq/kg),,,,additional processing inputs for select foods,,,VARIANCE CALCULATIONS,,,,,,,,,
,,,,number of times specific commodity appears in FCID recipe files,CED ,GHG ,,,,,PROXY?,,,,PROXY?,,,,Energy (MJ),GHG (kgCO2eq),,Energy Use (MJ/kg),,,,,GHGE,,,,
FCID_Code,FCID_Desc,Weight_Basis_ as defined by FCID,Comments (from FCID),N_Cases,MJ / kg,CO2 eq / kg,weight Conversion Factor,conversion factor source, or processor gate (=2)?,,,# of datapoints,N-average,Std. Dev,,# of datapoints,N-average,Std. Dev,,,,basis,n,proxy group mean,SD (group or indiv food),scaled SD (group SD*food mean/group mean),basis,n,proxy group mean,SD (group or indiv food),scaled SD (group SD*food mean/group mean)
1307359000,Strawberry,weight of berry; excluding leaf cap,,12636,8.289,0.614,1.06,FICRCD,1,,DB value,5,7.820,3.893,DB value,11,0.579,0.391,,,,berry,9,6.225615848,3.458108076,4.343731739,DIRECT,11,,0.390963681,0.390963681
1307360000,"Strawberry, juice",weight of juice at single strength (or standard dilution),,9565,15.448,1.732,1.3,FICRCD,1,strawberry,PROXY,5,7.820,3.893,PROXY,11,0.579,0.391,5.282,0.979,,berry,9,6.225615848,3.458108076,4.343731739,strawberry,11,0.579,0.390963681,0.390963681
1400003000,Almond,weight of nutmeat,,6948,23.200,2.272,1,FICRCD,1,,DB value,2,23.200,1.131,DB value,8,2.272,1.171,,,,nut,6,13.96972222,12.17450929,20.2186279,DIRECT,8,,1.171469654,1.171469654
1400004000,"Almond, oil",weight of oil,,51,23.200,2.272,1,FICRCD,1,almond,PROXY,2,23.200,1.131,PROXY,8,2.272,1.171,,,,nut,6,13.96972222,12.17450929,20.2186279,almond,8,2.27203125,1.171469654,1.171469654
1400059000,Brazil nut,weight of nutmeat,,64,13.970,2.057,1,FICRCD,1,nut,PROXY,6,13.970,12.175,PROXY,23,2.057,1.873,,,,nut,6,13.96972222,12.17450929,12.17450929,nut,23,2.056962862,1.873156253,1.873156253
1400068000,Butternut,weight of nutmeat,,9,13.970,2.057,1,None,1,nut,PROXY,6,13.970,12.175,PROXY,23,2.057,1.873,,,,nut,6,13.96972222,12.17450929,12.17450929,nut,23,2.056962862,1.873156253,1.873156253
1400081000,Cashew,weight of nutmeat,,2217,13.970,4.999,1,none,1,nut,PROXY,6,13.970,12.175,DB value,3,4.999,3.605,,,,nut,6,13.96972222,12.17450929,12.17450929,nut,23,2.056962862,1.873156253,4.55229809
1400092000,Chestnut,weight of  nutmeat,,10,17.322,1.269,1.24,FICRCD,1,nut,PROXY,6,13.970,12.175,DB value,3,1.023,0.514,,,,nut,6,13.96972222,12.17450929,12.17450929,nut,23,2.056962862,1.873156253,0.931890054
1400111000,"Coconut, meat",weight of meat; excluding milk and shell,"includes coconut, water",98,5.772,1.521,1.92,NNDSR28,1,,DB value,3,3.006,0.539,DB value,3,0.792,0.454,,,,nut,6,13.96972222,12.17450929,2.619803534,nut,23,2.056962862,1.873156253,0.721196644
1400112000,"Coconut, dried",dry weight of meat; excluding milk and shell,,2027,5.501,1.449,1.829843426,NNDSR28,1,coconut_meat,PROXY,3,3.006,0.539,PROXY,3,0.792,0.454,,,,nut,6,13.96972222,12.17450929,2.619803534,nut,23,2.056962862,1.873156253,0.721196644
1400113000,"Coconut, milk",weight of milk only; excluding meat and shell,,119,3.006,0.792,1,None,1,coconut_meat,PROXY,3,3.006,0.539,PROXY,3,0.792,0.454,,,,nut,6,13.96972222,12.17450929,2.619803534,nut,23,2.056962862,1.873156253,0.721196644
1400114000,"Coconut, oil",weight of oil,,11877,11.900,2.729,1,FICRCD,2,,DB value,3,11.900,0.996,DB value,3,2.729,0.981,,,,nut,6,13.96972222,12.17450929,10.37072658,nut,23,2.101904638,1.181948319,1.534825194
1400155000,Hazelnut,weight of nutmeat,Also called filbert.,1707,28.400,0.990,1,none,1,,DB value,1,28.400,0.000,DB value,2,0.990,0.665,,,,nut,6,13.96972222,12.17450929,24.75038933,nut,23,2.056962862,1.873156253,0.901535329
1400213000,Macadamia nut,weight of nutmeat,,11,13.970,2.057,1,FICRCD,1,nut,PROXY,6,13.970,12.175,PROXY,23,2.057,1.873,,,,nut,6,13.96972222,12.17450929,12.17450929,nut,23,2.056962862,1.873156253,1.873156253
1400269000,Pecan,weight of nutmeat,,2361,13.970,2.057,1,FICRCD,1,nut,PROXY,6,13.970,12.175,PROXY,23,2.057,1.873,,,,nut,6,13.96972222,12.17450929,12.17450929,nut,23,2.056962862,1.873156253,1.873156253
1400278000,Pine nut,weight of nutmeat,Also called pignolia.,65,13.970,2.057,1,FICRCD,1,nut,PROXY,6,13.970,12.175,PROXY,23,2.057,1.873,,,,nut,6,13.96972222,12.17450929,12.17450929,nut,23,2.056962862,1.873156253,1.873156253
1400282000,Pistachio,weight of nutmeat,,155,14.389,1.792,1.03,FICRCD,1,nut,PROXY,6,13.970,12.175,DB value,1,1.740,#DIV/0!,,,,nut,6,13.96972222,12.17450929,12.17450929,nut,23,2.056962862,1.873156253,1.584516639
1400391000,Walnut,weight of nutmeat,,3274,13.970,1.657,1,FICRCD,1,nut,PROXY,6,13.970,12.175,DB value,3,1.657,1.226,,,,nut,6,13.96972222,12.17450929,12.17450929,nut,23,2.056962862,1.873156253,1.508933374
1500025000,"Barley, pearled barley",dry weight of barley,,729,2.584,0.393,1,none,1,grains,PROXY,31,2.584,1.185,PROXY,45,0.393,0.204,,,,grains,31,2.58412131,1.18541907,1.18541907,grains,45,0.393493457,0.203614676,0.203614676
1500026000,"Barley, flour",dry weight of flour,Includes malt and whole barley.,19689,2.374,0.358,1,none,2,wheat_flour,PROXY,3,2.374,0.148,PROXY,3,0.358,0.011,,,,flours,9,3.7933852,1.231261217,0.770661912,flours,9,0.43042331,0.072682317,0.060435763
1500027000,"Barley, bran",dry weight of bran,,84,2.584,0.393,1,None,1,grains,PROXY,31,2.584,1.185,PROXY,45,0.393,0.204,,,,grains,31,2.58412131,1.18541907,1.18541907,grains,45,0.393493457,0.203614676,0.203614676
1500065000,Buckwheat,dry weight of groats; whole groat flour,,277,2.584,0.393,1,None,1,grains,PROXY,31,2.584,1.185,PROXY,45,0.393,0.204,,,,grains,31,2.58412131,1.18541907,1.18541907,grains,45,0.393493457,0.203614676,0.203614676
1500120000,"Corn, field, flour",dry weight of whole grain flour; masa harina,,16081,5.800,0.550,1,none,2,,DB value,1,5.800,0.000,DB value,1,0.550,#DIV/0!,,,,flours,9,3.7933852,1.231261217,1.882570497,flours,9,0.43042331,0.072682317,0.092874325
1500121000,"Corn, field, meal",dry weight of whole grain or degermed meal; dry weight of corn ingredient from corn or cornmeal based chips or snacks; dry weight of hominy,Includes hominy.,12427,5.800,0.550,1,none,2,corn_flour,PROXY,1,5.800,#DIV/0!,PROXY,1,0.550,#DIV/0!,,,,flours,9,3.7933852,1.231261217,1.882570497,flours,9,0.43042331,0.072682317,0.092874325
1500122000,"Corn, field, bran",dry weight of bran,,555,5.800,0.550,1,None,2,corn_flour,PROXY,1,5.800,#DIV/0!,PROXY,1,0.550,#DIV/0!,,,,flours,9,3.7933852,1.231261217,1.882570497,flours,9,0.43042331,0.072682317,0.092874325
1500123000,"Corn, field, starch",dry weight of corn starch,,34670,8.800,0.760,1,none,2,,DB value,1,8.800,0.000,DB value,1,0.760,#DIV/0!,,,,no var,,,0,0,no var,,,0,0
1500124000,"Corn, field, syrup",weight of syrup,,49699,8.800,0.760,1,none,2,corn_starch,PROXY,1,8.800,#DIV/0!,PROXY,1,0.760,#DIV/0!,,,,no var,,,0,0,no var,,,0,0
1500125000,"Corn, field, oil",weight of oil,,45585,15.166,1.199,1,none,2,,DB value,2,15.166,0.685,DB value,2,1.199,0.065,,,,oils,16,11.8733252,5.663275464,7.233639851,oils,19,3.607475758,2.530618213,0.841318465
1500126000,"Corn, pop",weight of kernels; excluding cob and husk,,3050,2.584,0.393,1,FICRCD,1,grains,PROXY,31,2.584,1.185,PROXY,45,0.393,0.204,,,,grains,31,2.58412131,1.18541907,1.18541907,grains,45,0.393493457,0.203614676,0.203614676
1500127000,"Corn, sweet",weight of kernels; excluding cob and husk,,6356,6.642,0.757,2.78,FICRCD,1,,DB value,4,2.389,0.343,DB value,4,0.272,0.079,,,,vegetables,60,3.490753676,2.891461549,1.979100866,vegetables,130,0.571432315,0.975672962,0.464983936
1500226000,"Millet, grain",dry weight of grain,,8,2.584,0.470,1,None,1,grains,PROXY,31,2.584,1.185,DB value,1,0.470,#DIV/0!,,,,grains,31,2.58412131,1.18541907,1.18541907,grains,45,0.393493457,0.203614676,0.243203276
1500231000,"Oat, bran",dry weight of bran,,711,4.686,0.498,1,FICRCD,2,oat_flour,PROXY,2,4.686,0.231,PROXY,2,0.498,0.036,,,,flours,9,3.7933852,1.231261217,1.520922213,flours,9,0.43042331,0.072682317,0.084158492
1500232000,"Oat, flour",dry weight of flour,,1147,4.686,0.498,1,FICRCD,2,,DB value,2,4.686,0.231,DB value,2,0.498,0.036,,,,flours,9,3.7933852,1.231261217,1.520922213,flours,9,0.43042331,0.072682317,0.084158492
1500233000,"Oat, groats/rolled oats",dry weight,,13263,2.771,0.474,1,none,1,,DB value,3,2.771,0.198,DB value,4,0.474,0.126,,,,grains,31,2.58412131,1.18541907,1.270932226,grains,45,0.393493457,0.203614676,0.245181243
1500323000,"Rice, white",dry weight of grain,,15650,5.839,1.541,1,None,2,,DB value,3,5.839,3.447,DB value,8,1.541,1.622,,,,grains,31,2.58412131,1.18541907,2.678609395,DIRECT,8,,1.621926989,1.621926989
1500324000,"Rice, brown",dry weight of grain or brown rice flour,,1983,6.687,2.061,1,None,1,,DB value,6,6.687,1.782,DB value,12,2.061,1.650,,,,DIRECT,6,,1.782017583,1.782017583,DIRECT,12,,1.650151606,1.650151606
1500325000,"Rice, flour",dry weight of flour,,27487,5.398,1.357,1,None,2,rice_bran,PROXY,1,5.398,#DIV/0!,PROXY,1,1.357,#DIV/0!,,,,flours,9,3.7933852,1.231261217,1.751926596,flours,9,0.43042331,0.072682317,0.229095631
1500326000,"Rice, bran",dry weight of bran,,50,5.398,1.357,1,None,2,,DB value,1,5.398,0.000,DB value,1,1.357,#DIV/0!,,,,flours,9,3.7933852,1.231261217,1.751926596,flours,9,0.43042331,0.072682317,0.229095631
1500328000,"Rye, grain",dry weight of grain; weight of whole grain flour,,2057,2.696,0.385,1,None,1,,DB value,20,2.696,1.325,DB value,20,0.385,0.183,,,,DIRECT,20,,1.324789503,1.324789503,DIRECT,20,,0.18272508,0.18272508
1500329000,"Rye, flour",dry weight of flour,,5,3.949,0.418,1,None,2,,DB value,3,3.949,0.386,DB value,3,0.418,0.022,,,,flours,9,3.7933852,1.231261217,1.281650099,flours,9,0.43042331,0.072682317,0.070547419
1500345000,"Sorghum, syrup",weight of syrup,,1,5.079,0.488,1,FICRCD,2,sugarcane_molasses,PROXY,1,5.079,#DIV/0!,PROXY,1,0.488,#DIV/0!,,,,sweeteners,14,8.845345584,17.46832841,10.02972678,sweeteners,13,1.061185914,1.805599706,0.829647666
1500381000,"Triticale, flour",dry weight of flour,,259,2.374,0.358,1,None,2,wheat_flour,PROXY,3,2.374,0.148,PROXY,3,0.358,0.011,,,,flours,9,3.7933852,1.231261217,0.770661912,flours,9,0.43042331,0.072682317,0.060435763
1500401000,"Wheat, grain",dry weight of grain,"Include whole kernel, cracked wheat, whole grain flour, bulgur, couscous.",16047,2.235,0.347,1,FICRCD,1,,DB value,8,2.235,1.029,DB value,19,0.347,0.188,,,,DIRECT,8,,1.028564733,1.028564733,DIRECT,19,,0.188089288,0.188089288
1500402000,"Wheat, flour",dry weight of flour,,49993,2.374,0.358,1,None,2,,DB value,3,2.374,0.148,DB value,3,0.358,0.011,,,,flours,9,3.7933852,1.231261217,0.770661912,flours,9,0.43042331,0.072682317,0.060435763
1500403000,"Wheat, germ",dry weight of germ,,2448,2.374,0.358,1,FICRCD,2,wheat_flour,PROXY,3,2.374,0.148,PROXY,3,0.358,0.011,,,,flours,9,3.7933852,1.231261217,0.770661912,flours,9,0.43042331,0.072682317,0.060435763
1500404000,"Wheat, bran",dry weight of bran,,10250,2.374,0.358,1,FICRCD,2,wheat_flour,PROXY,3,2.374,0.148,PROXY,3,0.358,0.011,,,,flours,9,3.7933852,1.231261217,0.770661912,flours,9,0.43042331,0.072682317,0.060435763
1500405000,Wild rice,dry weight of grain,,185,6.223,1.771,1,None,1,rice,PROXY,10,6.223,2.150,PROXY,21,1.771,1.585,,,,rice,10,6.222904,2.150052591,2.150052591,rice,21,1.771014252,1.585493678,1.585493678
1800002000,"Alfalfa, seed",weight of dry seed,Alfalfa sprouts are the human food item.,48,8.240,6.250,1,None,1,clover_seed,PROXY,1,8.240,#DIV/0!,PROXY,1,6.250,#DIV/0!,,,,grains,31,2.58412131,1.18541907,3.779951469,grains,45,0.393493457,0.203614676,3.234086114
1901028000,"Basil, fresh leaves",weight of leaves and stems,,94,1.551,0.221,1,None,1,spinach,PROXY,3,1.551,1.546,PROXY,3,0.221,0.084,,,,greens,10,2.56572747,1.519767307,0.918558907,greens,22,0.185619741,0.097833632,0.116445184
1901029000,"Basil, dried leaves",dry weight of leaves and stems,,16552,17.509,2.495,11.29093199,NNDSR28,1,spinach,PROXY,3,1.551,1.546,PROXY,3,0.221,0.084,,,,greens,10,2.56572747,1.519767307,0.918558907,greens,22,0.185619741,0.097833632,0.116445184
1901184000,"Herbs, other",weight of leaves and stems,"See Appendix B (“The Herb List”).  Note that some herbs are not included in this list as they are unique FCs and are cited in this vocabulary separately.  These latter include: basil, chive, coriander (cilantro), leaf, dill (dillweed), fennel, Florence (I",27421,1.551,0.221,1,None,1,spinach,PROXY,3,1.551,1.546,PROXY,3,0.221,0.084,,,,greens,10,2.56572747,1.519767307,0.918558907,greens,22,0.185619741,0.097833632,0.116445184
1901220000,Marjoram,weight of leaves and stems,Includes oregano.,22047,1.551,0.221,1,None,1,spinach,PROXY,3,1.551,1.546,PROXY,3,0.221,0.084,,,,greens,10,2.56572747,1.519767307,0.918558907,greens,22,0.185619741,0.097833632,0.116445184
1901249000,"Parsley, dried leaves",dried weight of leaves and stems,,1460,11.875,1.692,7.657445077,NNDSR28,1,spinach,PROXY,3,1.551,1.546,PROXY,3,0.221,0.084,,,,greens,10,2.56572747,1.519767307,0.918558907,greens,22,0.185619741,0.097833632,0.116445184
1901334000,Savory,weight of leaves and flower buds,Includes summer and winter savory.,15910,1.551,0.221,1,None,1,spinach,PROXY,3,1.551,1.546,PROXY,3,0.221,0.084,,,,greens,10,2.56572747,1.519767307,0.918558907,greens,22,0.185619741,0.097833632,0.116445184
1902105000,Cinnamon,dry weight of spice: stick or ground powder,,12421,0.000,0.870,1,None,1,spices,DB value,1,0.000,0.000,DB value,1,0.870,#DIV/0!,,,,no var,,,0,0,no var,,,0,0
1902119000,"Coriander, seed",weight of seed,Includes Chinese parsley and cilantro seed.,19105,0.000,0.870,1,None,1,spices,PROXY,1,0.000,#DIV/0!,PROXY,2,0.870,0.000,,,,no var,,,0,0,no var,,,0,0
1902143000,"Dill, seed",dry weight of seed,,4949,0.000,0.870,1,None,1,spices,PROXY,1,0.000,#DIV/0!,PROXY,2,0.870,0.000,,,,no var,,,0,0,no var,,,0,0
1902274000,"Pepper, black and white",dry weight of pepper,,24206,0.000,0.870,1,None,1,spices,PROXY,1,0.000,#DIV/0!,DB value,1,0.870,#DIV/0!,,,,no var,,,0,0,no var,,,0,0
1902354000,"Spices, other",dry weight,"See Appendix C (“The Spice List”).  Note that this list does not include some spices that are unique FCs and are listed separately in this Commodity Vocabulary.  These latter spices include: cinnamon, dill (seed), coriander (cilantro)-seed, and  black and",37630,0.000,0.870,1,None,1,spices,PROXY,1,0.000,#DIV/0!,PROXY,2,0.870,0.000,,,,no var,,,0,0,no var,,,0,0
2001162900,"Flax, seed","N/A - Does not exist in ""commodity vocabulary"" weight basis file in current or previous release",#N/A,68,2.584,0.393,1,None,1,grains,PROXY,31,2.584,1.185,PROXY,45,0.393,0.204,,,,grains,31,2.58412131,1.18541907,1.18541907,grains,45,0.393493457,0.203614676,0.203614676
2001163000,"Flax seed, oil",weight of oil; nutrient fat from flax seeds,Also called Solin.,176,14.641,2.334,1,none,2,oilseed_oil,PROXY,3,14.641,9.571,PROXY,4,2.334,0.362,,,,oils,16,11.8733252,5.663275464,6.983233471,oils,19,3.607475758,2.530618213,1.637284158
2001319000,"Rapeseed, oil",weight of oil,Includes canola oil.,47225,13.328,2.275,1,FICRCD,2,,DB value,1,13.328,0.000,DB value,2,2.275,0.502,,,,oils,16,11.8733252,5.663275464,6.357089414,oils,19,3.607475758,2.530618213,1.595896084
2001336000,"Sesame, seed",dry weight of seed,,2855,2.584,1.050,1,None,1,grains,PROXY,31,2.584,1.185,DB value,1,1.050,#DIV/0!,,,,grains,31,2.58412131,1.18541907,1.18541907,grains,45,0.393493457,0.203614676,0.543326467
2001337000,"Sesame, oil",weight of oil,,21745,14.641,2.334,1,FICRCD,2,oilseed_oil,PROXY,3,14.641,9.571,PROXY,4,2.334,0.362,,,,oils,16,11.8733252,5.663275464,6.983233471,oils,19,3.607475758,2.530618213,1.637284158
2002330000,"Safflower, oil",weight of oil,,45465,14.641,2.334,1,FICRCD,2,oilseed_oil,PROXY,3,14.641,9.571,PROXY,4,2.334,0.362,,,,oils,16,11.8733252,5.663275464,6.983233471,oils,19,3.607475758,2.530618213,1.637284158
2002364000,"Sunflower, seed",dry weight of seeds,,997,6.382,0.848,1,None,1,,DB value,11,6.382,1.378,DB value,11,0.848,0.217,,,,DIRECT,11,,1.378447359,1.378447359,DIRECT,11,,0.216585945,0.216585945
2002365000,"Sunflower, oil",weight of oil,,45494,5.794,2.646,1,none,2,oilseed_oil,DB value,1,5.794,0.000,DB value,1,2.646,#DIV/0!,,,,oils,16,11.8733252,5.663275464,2.763638982,oils,19,3.607475758,2.530618213,1.856149907
2003128000,"Cottonseed, oil",weight of oil,,50194,24.800,2.140,1,FICRCD,2,oilseed_oil,DB value,1,24.800,0.000,DB value,1,2.140,#DIV/0!,,,,oils,16,11.8733252,5.663275464,11.82897202,oils,19,3.607475758,2.530618213,1.501194558
2100228000,Mushroom,weight of caps or caps and stems,"Includes oyster, shiitake, and  button mushroom.                                                                                                                                          ",4128,4.987,3.093,1.03,FICRCD,1,,DB value,3,4.841,0.469,DB value,6,3.003,1.763,,,,vegetables,60,3.490753676,2.891461549,4.010179393,DIRECT,6,,1.762817863,1.762817863
2201019000,Asparagus,weight of edible portion of spears/stems,,392,20.181,2.171,1.89,FICRCD,1,,DB value,4,10.678,4.855,DB value,7,1.149,0.791,,,,vegetables,60,3.490753676,2.891461549,8.844557135,DIRECT,7,,0.790657398,0.790657398
2201022000,"Bamboo, shoots",weight of shoots,Bamboo shoots are the human food item.,569,10.678,1.149,1,None,1,asparagus,PROXY,4,10.678,4.855,PROXY,7,1.149,0.791,,,,vegetables,60,3.490753676,2.891461549,8.844557135,asparagus,7,1.14891,0.790657398,0.790657398
2201073000,Cactus,weight of pulp; excluding peel; juice,"Includes Prickly pear, Cactus pads and flowers, Nopales, and Aloe vera.",195,0.874,0.413,1.04,FICRCD,1,cucumber,PROXY,1,0.840,#DIV/0!,PROXY,4,0.397,0.569,,,,vegetables,60,3.490753676,2.891461549,0.695788912,vegetables,130,0.571432315,0.975672962,0.678437676
2201152000,"Fennel, Florence",weight of leaves,Includes Italian and sweet fennel.,2,5.881,0.331,1.12,FICRCD,1,celery,PROXY,1,5.251,#DIV/0!,PROXY,2,0.296,0.163,,,,vegetables,60,3.490753676,2.891461549,4.349593755,vegetables,130,0.571432315,0.975672962,0.504669631
2201196000,Kohlrabi,weight of leaves and stems,,3,8.181,0.958,2.17,FICRCD,1,brassica,PROXY,16,3.770,2.015,PROXY,22,0.441,0.323,,,,brassica,16,3.769948351,2.015180178,2.015180178,brassica,22,0.441306624,0.322914255,0.322914255
2201243000,"Palm heart, leaves",weight of stem and leaves,,3,3.395,0.534,1,FICRCD,1,tropical_fruit,PROXY,9,3.395,2.170,PROXY,30,0.534,0.862,,,,tropical_fruit,9,3.395412826,2.169807696,2.169807696,tropical_fruit,30,0.534489436,0.862009314,0.862009314
2202085000,Celery,weight of leaf stalk,,24602,5.881,0.331,1.12,FICRCD,1,,DB value,1,5.251,0.000,DB value,2,0.296,0.163,,,,vegetables,60,3.490753676,2.891461549,4.349593755,vegetables,130,0.571432315,0.975672962,0.504669631
2202086000,"Celery, juice",weight of juice as single strength (or standard dilution),,416,31.538,2.457,5,FICRCD,1,celery,PROXY,1,5.251,#DIV/0!,PROXY,2,0.296,0.163,5.282,0.979,,vegetables,60,3.490753676,2.891461549,4.349593755,vegetables,130,0.571432315,0.975672962,0.504669631
2202322000,Rhubarb,weight of stalks; excluding leaves,,39,14.201,1.528,1.33,FICRCD,1,asparagus,PROXY,4,10.678,4.855,PROXY,7,1.149,0.791,,,,vegetables,60,3.490753676,2.891461549,8.844557135,asparagus,7,1.14891,0.790657398,0.790657398
2301235000,Olive,weight of fruit; excluding pit,,2722,6.637,0.482,1.163,NNDSR28,1,,DB value,4,5.707,2.505,DB value,7,0.414,0.246,,,,tropical_fruit,9,3.395412826,2.169807696,3.646686943,DIRECT,7,,0.24572274,0.24572274
2301236000,"Olive, oil",weight of oil,,22315,15.708,3.206,1,FICRCD,2,,DB value,2,15.708,9.769,DB value,3,3.206,0.836,,,,oils,16,11.8733252,5.663275464,7.492355676,oils,19,3.607475758,2.530618213,2.248990682
2302077000,Carob,dry weight of bean; flour,,12,3.395,0.534,1,FICRCD,1,tropical_fruit,PROXY,9,3.395,2.170,PROXY,30,0.534,0.862,,,,tropical_fruit,9,3.395412826,2.169807696,2.169807696,tropical_fruit,30,0.534489436,0.862009314,0.862009314
2302153000,Fig,weight of fruit,,13,3.429,0.540,1.01,FICRCD,1,tropical_fruit,PROXY,9,3.395,2.170,PROXY,30,0.534,0.862,,,,tropical_fruit,9,3.395412826,2.169807696,2.169807696,tropical_fruit,30,0.534489436,0.862009314,0.862009314
2302154000,"Fig, dried",dry weight of fruit,,280,11.476,1.807,3.38,FICRCD,1,tropical_fruit,PROXY,9,3.395,2.170,PROXY,30,0.534,0.862,,,,tropical_fruit,9,3.395412826,2.169807696,2.169807696,tropical_fruit,30,0.534489436,0.862009314,0.862009314
2302183000,Guava,weight of pulp; excluding peel; juice,,223,4.346,2.278,1.28,FICRCD,1,tropical_fruit,PROXY,9,3.395,2.170,DB value,1,1.780,#DIV/0!,,,,tropical_fruit,9,3.395412826,2.169807696,2.169807696,tropical_fruit,30,0.534489436,0.862009314,2.87073322
2302368000,Tamarind,"weight of pulp, including seeds; excluding peel; juice",,3116,9.983,1.571,2.94,FICRCD,1,tropical_fruit,PROXY,9,3.395,2.170,PROXY,30,0.534,0.862,,,,tropical_fruit,9,3.395412826,2.169807696,2.169807696,tropical_fruit,30,0.534489436,0.862009314,0.862009314
2303141000,Date,"weight of fruit, excluding pit",,266,21.075,2.024,1.11,FICRCD,1,,DB value,2,18.986,1.171,DB value,4,1.824,1.494,,,,tropical_fruit,9,3.395412826,2.169807696,12.13286807,tropical_fruit,30,0.534489436,0.862009314,2.941251653
2401211000,Lychee,weight of pulp; excluding peel,,6,5.670,0.893,1.67,FICRCD,1,tropical_fruit,PROXY,9,3.395,2.170,PROXY,30,0.534,0.862,,,,tropical_fruit,9,3.395412826,2.169807696,2.169807696,tropical_fruit,30,0.534489436,0.862009314,0.862009314
2402020000,Avocado,weight of pulp; excluding skin and pit,,1566,9.187,0.547,1.35,FICRCD,1,,DB value,2,6.805,1.690,DB value,4,0.405,0.165,,,,tropical_fruit,9,3.395412826,2.169807696,4.348673381,tropical_fruit,30,0.534489436,0.862009314,0.653172446
2402023000,Banana,weight of pulp; excluding peel; juice,,20670,3.979,0.374,1.56,FICRCD,1,,DB value,5,2.551,0.927,DB value,19,0.240,0.068,,,,DIRECT,5,,0.927273653,0.927273653,DIRECT,19,,0.067822688,0.067822688
2402024000,"Banana, dried",dry weight of dried pulp; excluding peel (include weight of fruit from chips),,565,15.406,1.448,6.04,FICRCD,1,banana,PROXY,5,2.551,0.927,PROXY,19,0.240,0.068,,,,banana,5,2.550647634,0.927273653,0.927273653,banana,19,0.239812123,0.067822688,0.067822688
2402215000,Mango,weight of pulp; excluding peel,,448,4.923,0.639,1.45,FICRCD,1,tropical_fruit,PROXY,9,3.395,2.170,DB value,1,0.441,#DIV/0!,,,,tropical_fruit,9,3.395412826,2.169807696,2.169807696,tropical_fruit,30,0.534489436,0.862009314,0.711232219
2402216000,"Mango, dried",weight of dried pulp,,25,17.121,2.695,5.042321644,NNDSR28,1,tropical_fruit,PROXY,9,3.395,2.170,PROXY,30,0.534,0.862,,,,tropical_fruit,9,3.395412826,2.169807696,2.169807696,tropical_fruit,30,0.534489436,0.862009314,0.862009314
2402217000,"Mango, juice",weight of juice at single strength (or standard dilution),,6269,11.665,1.984,1.88,pineapple,1,tropical_fruit,PROXY,9,3.395,2.170,PROXY,30,0.534,0.862,5.282,0.979,,tropical_fruit,9,3.395412826,2.169807696,2.169807696,tropical_fruit,30,0.534489436,0.862009314,0.862009314
2402245000,Papaya,weight of pulp; excluding peel and seeds,,266,1.980,0.216,1.49,FICRCD,1,,DB value,1,1.329,0.000,DB value,1,0.145,#DIV/0!,,,,tropical_fruit,9,3.395412826,2.169807696,0.849164333,tropical_fruit,30,0.534489436,0.862009314,0.233819608
2402246000,"Papaya, dried",weight of dried pulp,,121,14.218,1.551,10.7,FICRCD,1,papaya,PROXY,1,1.329,#DIV/0!,PROXY,1,0.145,#DIV/0!,,,,tropical_fruit,9,3.395412826,2.169807696,0.849164333,tropical_fruit,30,0.534489436,0.862009314,0.233819608
2402247000,"Papaya, juice",weight of juice at single strength (or standard dilution),,38,7.262,1.195,1.49,FICRCD,1,papaya,PROXY,1,1.329,#DIV/0!,PROXY,1,0.145,#DIV/0!,5.282,0.979,,tropical_fruit,9,3.395412826,2.169807696,0.849164333,tropical_fruit,30,0.534489436,0.862009314,0.233819608
2402277000,Persimmon,"weight of entire fruit, pulp and peel",,48,2.418,0.307,1.19,FICRCD,1,tree_fruit,PROXY,30,2.032,1.778,PROXY,59,0.258,0.225,,,,tree_fruit,30,2.031966667,1.778072838,1.778072838,tree_fruit,59,0.257923912,0.224519986,0.224519986
2402283000,Plantain,weight of pulp; excluding skin,,334,3.928,2.048,1.54,FICRCD,1,banana,PROXY,5,2.551,0.927,DB value,1,1.330,#DIV/0!,,,,banana,5,2.550647634,0.927273653,0.927273653,banana,19,0.239812123,0.067822688,0.376145185
2402284000,"Plantain, dried",weight of dried pulp only,,12,8.052,0.757,3.157,FICRCD,1,banana,PROXY,5,2.551,0.927,PROXY,19,0.240,0.068,,,,banana,5,2.550647634,0.927273653,0.927273653,banana,19,0.239812123,0.067822688,0.067822688
2402289000,Pomegranate,weight of pulp; excluding peel and seeds,Seeds are usually not consumed.,39,3.637,0.462,1.79,FICRCD,1,tree_fruit,PROXY,30,2.032,1.778,PROXY,59,0.258,0.225,,,,tree_fruit,30,2.031966667,1.778072838,1.778072838,tree_fruit,59,0.257923912,0.224519986,0.224519986
2402290000,"Pomegranate, juice","N/A - Does not exist in ""commodity vocabulary"" weight basis file in current or previous release",#N/A,41,12.556,1.902,3.58,FICRCD,1,tree_fruit,PROXY,30,2.032,1.778,PROXY,59,0.258,0.225,5.282,0.979,,tree_fruit,30,2.031966667,1.778072838,1.778072838,tree_fruit,59,0.257923912,0.224519986,0.224519986
